Front	Back	Tags
[핵심개념] 입찰공고 내용 검토 및 분석	<b>출제 포인트</b>: 입찰공고에는 입찰에 부치는 사항, 계약조건 공시장소, 입찰보증금과 국고귀속, 입찰 관련 비리 신고 사항 등을 명시한다.<br><br><b>문제 연결</b>: 이 문제는 부정형이다. 계약의 중간보고일은 입찰공고 명시 사항으로 제시된 항목이 아니며, 나머지는 입찰공고에서 확인해야 할 사항이다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M2.SB3.D2 negative concept
[부정형] 국가를 당사자로 하는 계약에 관한 법령상 입찰공고 명시 사항으로 규정하고 있지 않은 것은?<br><br>① 계약의 중간보고일<br>② 계약하고자 하는 조건을 공시하는 장소<br>③ 입찰 관련 비리의 신고에 관한 사항<br>④ 입찰보증금의 국고귀속에 관한 사항	<b>정답</b>: ① 계약의 중간보고일<br><br>이 문제는 부정형이다. 계약의 중간보고일은 입찰공고 명시 사항으로 제시된 항목이 아니며, 나머지는 입찰공고에서 확인해야 할 사항이다.<br><br><b>근거</b>: 입찰공고에는 입찰에 부치는 사항, 계약조건 공시장소, 입찰보증금과 국고귀속, 입찰 관련 비리 신고 사항 등을 명시한다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M2.SB3.D2 negative source
입찰공고 내용 검토 및 분석에서 조심할 선택지는?<br><br>국가를 당사자로 하는 계약에 관한 법령상 입찰공고 명시 사항으로 규정하고 있지 않은 것은?	① 계약의 중간보고일 — 계약의 중간보고일은 입찰공고 명시 사항으로 규정된 항목이 아니므로 정답이다.<br>② 계약하고자 하는 조건을 공시하는 장소 — 계약조건을 공시하는 장소는 입찰자가 조건을 확인하기 위해 공고에 명시되는 사항이다.<br>③ 입찰 관련 비리의 신고에 관한 사항 — 입찰 관련 비리 신고 사항은 입찰공고 명시 사항에 포함된다.<br>④ 입찰보증금의 국고귀속에 관한 사항 — 입찰보증금의 국고귀속에 관한 사항은 입찰보증금 제도와 함께 공고에서 확인해야 한다.<br><br><b>난이도</b>: 함정	subject_2 S2.M2.SB3.D2 negative trap
[핵심개념] 협상계약 절차 및 낙찰자 결정	<b>출제 포인트</b>: 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 10일 이내에 계약을 체결하여야 한다.<br><br><b>문제 연결</b>: 협상에 의한 계약체결기준의 계약 체결 기한은 협상 성립 후 10일 이내다. 숫자형 문제이므로 단위까지 함께 기억해야 한다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M3.SB4.D2 numeric concept
[숫자 암기] (계약예규) 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 며칠 이내에 계약을 체결하여야 하는가?<br><br>① 3일<br>② 5일<br>③ 7일<br>④ 10일	<b>정답</b>: ④ 10일<br><br>협상에 의한 계약체결기준의 계약 체결 기한은 협상 성립 후 10일 이내다. 숫자형 문제이므로 단위까지 함께 기억해야 한다.<br><br><b>근거</b>: 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 10일 이내에 계약을 체결하여야 한다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M3.SB4.D2 numeric source
협상계약 절차 및 낙찰자 결정에서 조심할 선택지는?<br><br>(계약예규) 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 며칠 이내에 계약을 체결하여야 하는가?	① 3일 — 3일은 협상 성립 후 계약 체결 기한이 아니다.<br>② 5일 — 5일은 협상 성립 후 계약 체결 기한이 아니다.<br>③ 7일 — 7일은 협상 성립 후 계약 체결 기한이 아니다.<br>④ 10일 — 10일 이내가 협상 성립 후 계약 체결 기한이므로 정답이다.<br><br><b>난이도</b>: 중요	subject_2 S2.M3.SB4.D2 numeric trap
[핵심개념] 시장조사 방법	<b>출제 포인트</b>: 시장조사는 기존 구매·계약자료, 가격자료, 공급업체 현황, 제품 및 기술 동향 등을 검토하여 조달계획 수립의 기초자료로 활용한다.<br><br><b>문제 연결</b>: 시장조사는 가격자료와 계약자료, 공급업체 및 기술 동향을 확인하는 절차다. 입찰공고 후 시장가격 정보를 전혀 검토하지 않는다는 단정은 부적절하다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#시장조사	subject_2 S2.M1.SB2.D1 box-multi concept
[박스 다중선택] 공공조달계획 수립 단계의 시장조사 방법으로 적절한 것을 모두 고른 것은?<br><br>ㄱ. 기존 계약자료와 가격자료를 확인한다.<br>ㄴ. 공급 가능한 업체와 제품의 기술 동향을 조사한다.<br>ㄷ. 입찰공고 후에는 시장가격 정보를 검토하지 않는다.<br><br>① ㄱ, ㄴ<br>② ㄱ, ㄷ<br>③ ㄴ, ㄷ<br>④ ㄱ, ㄴ, ㄷ	<b>정답</b>: ① ㄱ, ㄴ<br><br>시장조사는 가격자료와 계약자료, 공급업체 및 기술 동향을 확인하는 절차다. 입찰공고 후 시장가격 정보를 전혀 검토하지 않는다는 단정은 부적절하다.<br><br><b>근거</b>: 시장조사는 기존 구매·계약자료, 가격자료, 공급업체 현황, 제품 및 기술 동향 등을 검토하여 조달계획 수립의 기초자료로 활용한다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#시장조사	subject_2 S2.M1.SB2.D1 box-multi source
시장조사 방법에서 조심할 선택지는?<br><br>공공조달계획 수립 단계의 시장조사 방법으로 적절한 것을 모두 고른 것은?	① ㄱ, ㄴ — ㄱ과 ㄴ은 시장조사 방법에 해당하고 ㄷ은 부적절하므로 정답이다.<br>② ㄱ, ㄷ — ㄷ은 시장가격 검토를 배제하는 단정이어서 시장조사 취지와 맞지 않는다.<br>③ ㄴ, ㄷ — ㄷ이 포함되어 오답이고, ㄱ도 함께 고려해야 한다.<br>④ ㄱ, ㄴ, ㄷ — ㄷ이 부적절하므로 모두 고른 조합은 정답이 아니다.<br><br><b>난이도</b>: 기초	subject_2 S2.M1.SB2.D1 box-multi trap
[핵심개념] 공급계획 및 일정 수립	"<b>출제 포인트</b>: 공공조달을 체계적으로 준비하고 참여하기 위한 공급계획 수립은 ""수요정보 수집-공급환경분석-내부공급역량분석-적정성분석-공급계획수립""의 5단계로 구성된다.<br><br><b>문제 연결</b>: 공급계획 수립은 수요정보 수집 → 공급환경분석 → 내부공급역량분석 → 적정성분석 → 공급계획수립의 5단계다. 외부 환경(공급환경)을 먼저 보고 내부 역량을 점검하는 순서가 핵심이다.<br><b>출처</b>: docs/공식책/공공조달 계획분석.pdf#제3장-공급계획-수립-5단계"	subject_2 S2.M1.SB1.D3 box-blank concept
