Front	Back	Tags
[핵심개념] 수의계약	<b>출제 포인트</b>: 수의계약은 경쟁절차를 거치지 않아 절차가 간소하고 신속한 계약 체결에 유리하지만, 경쟁성이 낮아 공정성·투명성 확보에는 한계가 있다.<br><br><b>문제 연결</b>: 이 문제는 부정형이다. 수의계약은 절차 간소화와 신속성이 장점이지만, 공정성 및 투명성 확보는 경쟁입찰 방식의 장점에 가깝다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=2	subject_1 S1.M2.SB4.D1 negative concept
[부정형] 수의계약의 장점과 거리가 먼 것은?<br><br>① 절차 간소화<br>② 신속한 계약 체결<br>③ 공정성 및 투명성 확보<br>④ 조달기관에 적합한 조달 대상물을 확보할 가능성 향상	<b>정답</b>: ③ 공정성 및 투명성 확보<br><br>이 문제는 부정형이다. 수의계약은 절차 간소화와 신속성이 장점이지만, 공정성 및 투명성 확보는 경쟁입찰 방식의 장점에 가깝다.<br><br><b>근거</b>: 수의계약은 경쟁절차를 거치지 않아 절차가 간소하고 신속한 계약 체결에 유리하지만, 경쟁성이 낮아 공정성·투명성 확보에는 한계가 있다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=2	subject_1 S1.M2.SB4.D1 negative source
수의계약에서 조심할 선택지는?<br><br>수의계약의 장점과 거리가 먼 것은?	① 절차 간소화 — 수의계약은 경쟁입찰보다 절차 부담이 작아 장점에 해당한다.<br>② 신속한 계약 체결 — 긴급하거나 특수한 사정에서는 신속하게 계약할 수 있다는 점이 장점이다.<br>③ 공정성 및 투명성 확보 — 경쟁성이 제한되므로 공정성 및 투명성 확보는 수의계약의 장점으로 보기 어렵다.<br>④ 조달기관에 적합한 조달 대상물을 확보할 가능성 향상 — 특정 사정에 맞는 상대방과 계약할 수 있어 적합한 조달 대상 확보 가능성이 높아질 수 있다.<br><br><b>난이도</b>: 함정	subject_1 S1.M2.SB4.D1 negative trap
[핵심개념] 계약의 해제·해지에 관한 규정	<b>출제 포인트</b>: 해지는 계속적 계약관계에서 장래에 향하여 계약의 효력을 소멸시키는 일방적 의사표시이고, 해제는 계약 효력을 소급적으로 소멸시키는 행위로 구별된다.<br><br><b>문제 연결</b>: 장래에 대하여 계약의 효력을 소멸시키는 것은 해지다. 해제는 원칙적으로 소급효가 문제 되고, 철회와 취소는 계약 효력 소멸의 장래효 설명과 다르다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=2	subject_1 S1.M5.SB1.D3 concept-diff concept
[개념 구별] 당사자 일방의 의사표시에 의하여 유효하게 성립된 계약의 효력을 장래에 대하여 소멸시키는 행위는?<br><br>① 해제<br>② 해지<br>③ 철회<br>④ 취소	<b>정답</b>: ② 해지<br><br>장래에 대하여 계약의 효력을 소멸시키는 것은 해지다. 해제는 원칙적으로 소급효가 문제 되고, 철회와 취소는 계약 효력 소멸의 장래효 설명과 다르다.<br><br><b>근거</b>: 해지는 계속적 계약관계에서 장래에 향하여 계약의 효력을 소멸시키는 일방적 의사표시이고, 해제는 계약 효력을 소급적으로 소멸시키는 행위로 구별된다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=2	subject_1 S1.M5.SB1.D3 concept-diff source
계약의 해제·해지에 관한 규정에서 조심할 선택지는?<br><br>당사자 일방의 의사표시에 의하여 유효하게 성립된 계약의 효력을 장래에 대하여 소멸시키는 행위는?	① 해제 — 해제는 장래효가 아니라 계약관계를 처음부터 없던 것처럼 돌리는 소급효와 연결된다.<br>② 해지 — 해지는 계속적 계약관계의 효력을 장래에 향하여 소멸시키므로 정답이다.<br>③ 철회 — 철회는 의사표시가 효력을 발생하기 전 거두는 개념으로, 이미 유효한 계약의 장래효 소멸과 다르다.<br>④ 취소 — 취소는 하자 있는 의사표시의 효력을 부정하는 제도이므로 해지와 구별된다.<br><br><b>난이도</b>: 중요	subject_1 S1.M5.SB1.D3 concept-diff trap
[핵심개념] 입찰공고 내용 검토 및 분석	<b>출제 포인트</b>: 입찰공고에는 입찰에 부치는 사항, 계약조건 공시장소, 입찰보증금과 국고귀속, 입찰 관련 비리 신고 사항 등을 명시한다.<br><br><b>문제 연결</b>: 이 문제는 부정형이다. 계약의 중간보고일은 입찰공고 명시 사항으로 제시된 항목이 아니며, 나머지는 입찰공고에서 확인해야 할 사항이다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M2.SB3.D2 negative concept
[부정형] 국가를 당사자로 하는 계약에 관한 법령상 입찰공고 명시 사항으로 규정하고 있지 않은 것은?<br><br>① 계약의 중간보고일<br>② 계약하고자 하는 조건을 공시하는 장소<br>③ 입찰 관련 비리의 신고에 관한 사항<br>④ 입찰보증금의 국고귀속에 관한 사항	<b>정답</b>: ① 계약의 중간보고일<br><br>이 문제는 부정형이다. 계약의 중간보고일은 입찰공고 명시 사항으로 제시된 항목이 아니며, 나머지는 입찰공고에서 확인해야 할 사항이다.<br><br><b>근거</b>: 입찰공고에는 입찰에 부치는 사항, 계약조건 공시장소, 입찰보증금과 국고귀속, 입찰 관련 비리 신고 사항 등을 명시한다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M2.SB3.D2 negative source
입찰공고 내용 검토 및 분석에서 조심할 선택지는?<br><br>국가를 당사자로 하는 계약에 관한 법령상 입찰공고 명시 사항으로 규정하고 있지 않은 것은?	① 계약의 중간보고일 — 계약의 중간보고일은 입찰공고 명시 사항으로 규정된 항목이 아니므로 정답이다.<br>② 계약하고자 하는 조건을 공시하는 장소 — 계약조건을 공시하는 장소는 입찰자가 조건을 확인하기 위해 공고에 명시되는 사항이다.<br>③ 입찰 관련 비리의 신고에 관한 사항 — 입찰 관련 비리 신고 사항은 입찰공고 명시 사항에 포함된다.<br>④ 입찰보증금의 국고귀속에 관한 사항 — 입찰보증금의 국고귀속에 관한 사항은 입찰보증금 제도와 함께 공고에서 확인해야 한다.<br><br><b>난이도</b>: 함정	subject_2 S2.M2.SB3.D2 negative trap
[핵심개념] 협상계약 절차 및 낙찰자 결정	<b>출제 포인트</b>: 협상에 의한 계약체결기준상 계약담당공무원은 협상이 성립된 후 10일 이내에 계약을 체결하여야 한다.<br><br><b>문제 연결</b>: 협상에 의한 계약체결기준의 계약 체결 기한은 협상 성립 후 10일 이내다. 숫자형 문제이므로 단위까지 함께 기억해야 한다.<br><b>출처</b>: docs/(공개용)공공조달관리사 수험자용 예제문제.pdf#page=3	subject_2 S2.M3.SB4.D2 numeric concept
