Front	Back	Tags
공공조달의 목적이란?	공공조달은 공공기관이 공적 수요를 충족하기 위해 물품, 용역, 공사를 확보하는 활동이며 예산의 효율성과 공공가치 달성을 함께 추구한다.<br><br><b>쉬운 말</b>: 나라 살림으로 필요한 물건과 서비스를 사되, 싸게만 사는 것이 아니라 공정성, 품질, 정책 목표까지 함께 보는 일이다.<br><b>출처</b>: 공공조달의 이해 제1장 제1절	chapter_1 overview purpose definition
공공조달의 목적에서 조심할 오답 함정은?	공공조달을 단순 구매나 최저가 구매로만 보면 틀리기 쉽다.<br><br><b>복습 힌트</b>: 나라 살림으로 필요한 물건과 서비스를 사되, 싸게만 사는 것이 아니라 공정성, 품질, 정책 목표까지 함께 보는 일이다.	chapter_1 overview purpose trap
공공조달의 목적를 10초 안에 쉬운 말로 설명하면?	나라 살림으로 필요한 물건과 서비스를 사되, 싸게만 사는 것이 아니라 공정성, 품질, 정책 목표까지 함께 보는 일이다.<br><br><b>시험 포인트</b>: 공공조달은 공공기관이 공적 수요를 충족하기 위해 물품, 용역, 공사를 확보하는 활동이며 예산의 효율성과 공공가치 달성을 함께 추구한다.	chapter_1 overview purpose adhd_short
공공조달의 이해 제1장 제1절의 핵심 키워드는?	<b>공공조달의 목적</b><br>공공조달 개요<br>chapter_1, overview, purpose	chapter_1 overview purpose source_map
"시험장에서 ""공공조달의 목적""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 나라 살림으로 필요한 물건과 서비스를 사되, 싸게만 사는 것이 아니라 공정성, 품질, 정책 목표까지 함께 보는 일이다.<br><br><b>왜 중요한가</b>: 공공조달은 공공기관이 공적 수요를 충족하기 위해 물품, 용역, 공사를 확보하는 활동이며 예산의 효율성과 공공가치 달성을 함께 추구한다.	chapter_1 overview purpose exam_trigger
"다음 표현이 왜 위험할까?<br>""공공조달을 단순 구매나 최저가 구매로만 보면 틀리기 쉽다."""	<b>위험한 이유</b>: 이 표현은 공공조달의 목적의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공조달은 공공기관이 공적 수요를 충족하기 위해 물품, 용역, 공사를 확보하는 활동이며 예산의 효율성과 공공가치 달성을 함께 추구한다.	chapter_1 overview purpose wrong_phrase
공공조달의 목적를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 공공조달의 목적<br><b>연결 범위</b>: 공공조달 개요<br><b>암기 문장</b>: 나라 살림으로 필요한 물건과 서비스를 사되, 싸게만 사는 것이 아니라 공정성, 품질, 정책 목표까지 함께 보는 일이다.	chapter_1 overview purpose keyword_anchor
공공조달의 목적 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 나라 살림으로 필요한 물건과 서비스를 사되, 싸게만 사는 것이 아니라 공정성, 품질, 정책 목표까지 함께 보는 일이다."	chapter_1 overview purpose choice_elimination
공공조달 참여자이란?	공공조달에는 수요기관, 조달기관, 공급업체, 이용 국민 등 여러 이해관계자가 참여하며 각자의 역할과 책임이 다르다.<br><br><b>쉬운 말</b>: 사는 기관, 구매를 도와주는 기관, 파는 기업, 결과를 이용하는 국민이 함께 얽힌 구조다.<br><b>출처</b>: 공공조달의 이해 제1장 제2절	chapter_1 stakeholders definition
공공조달 참여자에서 조심할 오답 함정은?	조달청만 공공조달의 유일한 참여자라고 단정하면 안 된다.<br><br><b>복습 힌트</b>: 사는 기관, 구매를 도와주는 기관, 파는 기업, 결과를 이용하는 국민이 함께 얽힌 구조다.	chapter_1 stakeholders trap
공공조달 참여자를 10초 안에 쉬운 말로 설명하면?	사는 기관, 구매를 도와주는 기관, 파는 기업, 결과를 이용하는 국민이 함께 얽힌 구조다.<br><br><b>시험 포인트</b>: 공공조달에는 수요기관, 조달기관, 공급업체, 이용 국민 등 여러 이해관계자가 참여하며 각자의 역할과 책임이 다르다.	chapter_1 stakeholders adhd_short
공공조달의 이해 제1장 제2절의 핵심 키워드는?	<b>공공조달 참여자</b><br>공공조달 개요<br>chapter_1, stakeholders	chapter_1 stakeholders source_map
"시험장에서 ""공공조달 참여자""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 사는 기관, 구매를 도와주는 기관, 파는 기업, 결과를 이용하는 국민이 함께 얽힌 구조다.<br><br><b>왜 중요한가</b>: 공공조달에는 수요기관, 조달기관, 공급업체, 이용 국민 등 여러 이해관계자가 참여하며 각자의 역할과 책임이 다르다.	chapter_1 stakeholders exam_trigger
"다음 표현이 왜 위험할까?<br>""조달청만 공공조달의 유일한 참여자라고 단정하면 안 된다."""	<b>위험한 이유</b>: 이 표현은 공공조달 참여자의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공조달에는 수요기관, 조달기관, 공급업체, 이용 국민 등 여러 이해관계자가 참여하며 각자의 역할과 책임이 다르다.	chapter_1 stakeholders wrong_phrase
공공조달 참여자를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 공공조달 참여자<br><b>연결 범위</b>: 공공조달 개요<br><b>암기 문장</b>: 사는 기관, 구매를 도와주는 기관, 파는 기업, 결과를 이용하는 국민이 함께 얽힌 구조다.	chapter_1 stakeholders keyword_anchor
공공조달 참여자 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 사는 기관, 구매를 도와주는 기관, 파는 기업, 결과를 이용하는 국민이 함께 얽힌 구조다."	chapter_1 stakeholders choice_elimination
공공조달의 특성이란?	공공조달은 공공재원 사용, 법령과 절차 준수, 투명성 요구, 정책수단 기능이라는 특성을 가진다.<br><br><b>쉬운 말</b>: 개인 쇼핑과 달리 세금을 쓰므로 규칙, 기록, 공개성이 중요하다.<br><b>출처</b>: 공공조달의 이해 제1장 제3절	chapter_1 transparency definition
공공조달의 특성에서 조심할 오답 함정은?	민간 구매처럼 신속성과 재량만 강조하는 설명은 부적절하다.<br><br><b>복습 힌트</b>: 개인 쇼핑과 달리 세금을 쓰므로 규칙, 기록, 공개성이 중요하다.	chapter_1 transparency trap
공공조달의 특성를 10초 안에 쉬운 말로 설명하면?	개인 쇼핑과 달리 세금을 쓰므로 규칙, 기록, 공개성이 중요하다.<br><br><b>시험 포인트</b>: 공공조달은 공공재원 사용, 법령과 절차 준수, 투명성 요구, 정책수단 기능이라는 특성을 가진다.	chapter_1 transparency adhd_short
공공조달의 이해 제1장 제3절의 핵심 키워드는?	<b>공공조달의 특성</b><br>공공조달 개요<br>chapter_1, transparency	chapter_1 transparency source_map
"시험장에서 ""공공조달의 특성""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 개인 쇼핑과 달리 세금을 쓰므로 규칙, 기록, 공개성이 중요하다.<br><br><b>왜 중요한가</b>: 공공조달은 공공재원 사용, 법령과 절차 준수, 투명성 요구, 정책수단 기능이라는 특성을 가진다.	chapter_1 transparency exam_trigger
"다음 표현이 왜 위험할까?<br>""민간 구매처럼 신속성과 재량만 강조하는 설명은 부적절하다."""	<b>위험한 이유</b>: 이 표현은 공공조달의 특성의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공조달은 공공재원 사용, 법령과 절차 준수, 투명성 요구, 정책수단 기능이라는 특성을 가진다.	chapter_1 transparency wrong_phrase
공공조달의 특성를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 공공조달의 특성<br><b>연결 범위</b>: 공공조달 개요<br><b>암기 문장</b>: 개인 쇼핑과 달리 세금을 쓰므로 규칙, 기록, 공개성이 중요하다.	chapter_1 transparency keyword_anchor
공공조달의 특성 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 개인 쇼핑과 달리 세금을 쓰므로 규칙, 기록, 공개성이 중요하다."	chapter_1 transparency choice_elimination
공공조달 구성 체계이란?	공공조달은 수요 파악, 계획, 입찰·계약, 납품·검사, 대금 지급, 사후관리로 이어지는 절차 체계를 가진다.<br><br><b>쉬운 말</b>: 필요한 것 확인부터 계약 후 관리까지 이어지는 전체 흐름이다.<br><b>출처</b>: 공공조달의 이해 제1장 제4절	chapter_1 process definition
공공조달 구성 체계에서 조심할 오답 함정은?	입찰만 공공조달이라고 좁게 보면 절차 전후 단계가 빠진다.<br><br><b>복습 힌트</b>: 필요한 것 확인부터 계약 후 관리까지 이어지는 전체 흐름이다.	chapter_1 process trap
공공조달 구성 체계를 10초 안에 쉬운 말로 설명하면?	필요한 것 확인부터 계약 후 관리까지 이어지는 전체 흐름이다.<br><br><b>시험 포인트</b>: 공공조달은 수요 파악, 계획, 입찰·계약, 납품·검사, 대금 지급, 사후관리로 이어지는 절차 체계를 가진다.	chapter_1 process adhd_short
공공조달의 이해 제1장 제4절의 핵심 키워드는?	<b>공공조달 구성 체계</b><br>공공조달 개요<br>chapter_1, process	chapter_1 process source_map
"시험장에서 ""공공조달 구성 체계""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 필요한 것 확인부터 계약 후 관리까지 이어지는 전체 흐름이다.<br><br><b>왜 중요한가</b>: 공공조달은 수요 파악, 계획, 입찰·계약, 납품·검사, 대금 지급, 사후관리로 이어지는 절차 체계를 가진다.	chapter_1 process exam_trigger
"다음 표현이 왜 위험할까?<br>""입찰만 공공조달이라고 좁게 보면 절차 전후 단계가 빠진다."""	<b>위험한 이유</b>: 이 표현은 공공조달 구성 체계의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공공조달은 수요 파악, 계획, 입찰·계약, 납품·검사, 대금 지급, 사후관리로 이어지는 절차 체계를 가진다.	chapter_1 process wrong_phrase
공공조달 구성 체계를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 공공조달 구성 체계<br><b>연결 범위</b>: 공공조달 개요<br><b>암기 문장</b>: 필요한 것 확인부터 계약 후 관리까지 이어지는 전체 흐름이다.	chapter_1 process keyword_anchor
공공조달 구성 체계 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 필요한 것 확인부터 계약 후 관리까지 이어지는 전체 흐름이다."	chapter_1 process choice_elimination
공정성 원칙이란?	공정성은 특정 업체에 유리하거나 불리하지 않도록 동등한 참여 기회와 객관적 평가 기준을 보장하는 원칙이다.<br><br><b>쉬운 말</b>: 누구에게나 같은 룰로 경쟁하게 만드는 것이다.<br><b>출처</b>: 공공조달의 이해 제2장 제1절	chapter_2 principle fairness definition
공정성 원칙에서 조심할 오답 함정은?	공정성은 단순히 최저가격을 고르는 원칙이 아니다.<br><br><b>복습 힌트</b>: 누구에게나 같은 룰로 경쟁하게 만드는 것이다.	chapter_2 principle fairness trap
공정성 원칙를 10초 안에 쉬운 말로 설명하면?	누구에게나 같은 룰로 경쟁하게 만드는 것이다.<br><br><b>시험 포인트</b>: 공정성은 특정 업체에 유리하거나 불리하지 않도록 동등한 참여 기회와 객관적 평가 기준을 보장하는 원칙이다.	chapter_2 principle fairness adhd_short
공공조달의 이해 제2장 제1절의 핵심 키워드는?	<b>공정성 원칙</b><br>공공조달 원칙 및 방법<br>chapter_2, principle, fairness	chapter_2 principle fairness source_map
"시험장에서 ""공정성 원칙""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 누구에게나 같은 룰로 경쟁하게 만드는 것이다.<br><br><b>왜 중요한가</b>: 공정성은 특정 업체에 유리하거나 불리하지 않도록 동등한 참여 기회와 객관적 평가 기준을 보장하는 원칙이다.	chapter_2 principle fairness exam_trigger
"다음 표현이 왜 위험할까?<br>""공정성은 단순히 최저가격을 고르는 원칙이 아니다."""	<b>위험한 이유</b>: 이 표현은 공정성 원칙의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 공정성은 특정 업체에 유리하거나 불리하지 않도록 동등한 참여 기회와 객관적 평가 기준을 보장하는 원칙이다.	chapter_2 principle fairness wrong_phrase
공정성 원칙를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 공정성 원칙<br><b>연결 범위</b>: 공공조달 원칙 및 방법<br><b>암기 문장</b>: 누구에게나 같은 룰로 경쟁하게 만드는 것이다.	chapter_2 principle fairness keyword_anchor
